description,industry,level,size,line_code,value
Debt finance received: some amount received,Commercial fishing,2,total,D1600.03,0
Debt finance received: some amount received,Forestry & logging,2,total,D1600.03,3
Debt finance received: some amount received,"Agriculture, forestry, & fishing support services",2,total,D1600.03,24
Debt finance received: some amount received,Mining,1,total,D1600.03,0
Debt finance received: some amount received,Manufacturing,1,total,D1600.03,75
Debt finance received: some amount received,"Food, beverage, & tobacco",2,total,D1600.03,12
Debt finance received: some amount received,"Textile, clothing, footwear, & leather",2,total,D1600.03,3
Debt finance received: some amount received,Wood & paper product,2,total,D1600.03,12
Debt finance received: some amount received,"Printing, publishing, & recorded media",2,total,D1600.03,6
Debt finance received: some amount received,"Petroleum, coal, chemical, & associated product",2,total,D1600.03,12
Debt finance received: some amount received,Non-metallic mineral product,2,total,D1600.03,0
Debt finance received: some amount received,Metal product,2,total,D1600.03,18
Debt finance received: some amount received,Transport and industrial machinery & equipment,2,total,D1600.03,9
Debt finance received: some amount received,Other machinery & equipment,2,total,D1600.03,3
Debt finance received: some amount received,Other manufacturing,2,total,D1600.03,3
Debt finance received: some amount received,"Electricity, gas, water, & waste services",1,total,D1600.03,3
Debt finance received: some amount received,Construction,1,total,D1600.03,165
Debt finance received: some amount received,Wholesale trade,1,total,D1600.03,39
Debt finance received: some amount received,Machinery & equipment wholesaling,2,total,D1600.03,0
Debt finance received: some amount received,Other wholesale trade,2,total,D1600.03,36
Debt finance received: some amount received,Retail trade,1,total,D1600.03,93
Debt finance received: some amount received,Accommodation & food services,1,total,D1600.03,243
Debt finance received: some amount received,"Transport, postal, & warehousing",1,total,D1600.03,60
Debt finance received: some amount received,Information media & telecommunications,1,total,D1600.03,9
Debt finance received: some amount received,Publishing,2,total,D1600.03,6
Debt finance received: some amount received,Motion picture,2,total,D1600.03,3
Debt finance received: some amount received,Telecommunications,2,total,D1600.03,0
Debt finance received: some amount received,Financial & insurance services,1,total,D1600.03,6
Debt finance received: some amount received,Finance,2,total,D1600.03,6
Debt finance received: some amount received,Insurance,2,total,D1600.03,0
Debt finance received: some amount received,Auxiliary,2,total,D1600.03,0
Debt finance received: some amount received,"Rental, hiring, & real estate services",1,total,D1600.03,3
Debt finance received: some amount received,"Professional, scientific, & technical services",1,total,D1600.03,36
Debt finance received: some amount received,Computer systems design,2,total,D1600.03,9
Debt finance received: some amount received,Other professional scientific,2,total,D1600.03,33
Debt finance received: some amount received,Administrative & support services,1,total,D1600.03,27
Debt finance received: some amount received,Education & training,1,total,D1600.03,12
Debt finance received: some amount received,Health care & social assistance,1,total,D1600.03,24
Debt finance received: some amount received,Arts & recreation services,1,total,D1600.03,18
Debt finance received: some amount received,Other services,1,total,D1600.03,0
Debt finance received: some amount received,total,0,total,D1600.03,855
Debt finance received: none received,total,0,6–19 employees,D1600.04,708
Debt finance received: none received,total,0,20–49 employees,D1600.04,114
Debt finance received: none received,total,0,50–99 employees,D1600.04,24
Debt finance received: none received,total,0,100+ employees,D1600.04,24
Debt finance received: none received,"Agriculture, forestry, & fishing",1,total,D1600.04,60
Debt finance received: none received,Agriculture,2,total,D1600.04,48
Debt finance received: none received,Commercial fishing,2,total,D1600.04,0
Debt finance received: none received,Forestry & logging,2,total,D1600.04,6
Debt finance received: none received,"Agriculture, forestry, & fishing support services",2,total,D1600.04,9
Debt finance received: none received,Mining,1,total,D1600.04,3
Debt finance received: none received,Manufacturing,1,total,D1600.04,72
Debt finance received: none received,"Food, beverage, & tobacco",2,total,D1600.04,27
Debt finance received: none received,"Textile, clothing, footwear, & leather",2,total,D1600.04,3
Debt finance received: none received,Wood & paper product,2,total,D1600.04,12
Debt finance received: none received,"Printing, publishing, & recorded media",2,total,D1600.04,6
Debt finance received: none received,"Petroleum, coal, chemical, & associated product",2,total,D1600.04,6
Debt finance received: none received,Non-metallic mineral product,2,total,D1600.04,0
Debt finance received: none received,Metal product,2,total,D1600.04,15
Debt finance received: none received,Transport and industrial machinery & equipment,2,total,D1600.04,0
Debt finance received: none received,Other machinery & equipment,2,total,D1600.04,0
Debt finance received: none received,Other manufacturing,2,total,D1600.04,3
Debt finance received: none received,"Electricity, gas, water, & waste services",1,total,D1600.04,3
Debt finance received: none received,Construction,1,total,D1600.04,81
Debt finance received: none received,Wholesale trade,1,total,D1600.04,21
Debt finance received: none received,Machinery & equipment wholesaling,2,total,D1600.04,0
Debt finance received: none received,Other wholesale trade,2,total,D1600.04,21
Debt finance received: none received,Retail trade,1,total,D1600.04,111
Debt finance received: none received,Accommodation & food services,1,total,D1600.04,180
Debt finance received: none received,"Transport, postal, & warehousing",1,total,D1600.04,0
Debt finance received: none received,Information media & telecommunications,1,total,D1600.04,6
Debt finance received: none received,Publishing,2,total,D1600.04,0
Debt finance received: none received,Motion picture,2,total,D1600.04,0
Debt finance received: none received,Telecommunications,2,total,D1600.04,3
Debt finance received: none received,Financial & insurance services,1,total,D1600.04,6
Debt finance received: none received,Finance,2,total,D1600.04,0
Debt finance received: none received,Insurance,2,total,D1600.04,0
Debt finance received: none received,Auxiliary,2,total,D1600.04,6
Debt finance received: none received,"Rental, hiring, & real estate services",1,total,D1600.04,12
Debt finance received: none received,"Professional, scientific, & technical services",1,total,D1600.04,54
Debt finance received: none received,Computer systems design,2,total,D1600.04,6
Debt finance received: none received,Other professional scientific,2,total,D1600.04,51
Debt finance received: none received,Administrative & support services,1,total,D1600.04,54
Debt finance received: none received,Education & training,1,total,D1600.04,60
Debt finance received: none received,Health care & social assistance,1,total,D1600.04,81
Debt finance received: none received,Arts & recreation services,1,total,D1600.04,12
Debt finance received: none received,Other services,1,total,D1600.04,48
Debt finance received: none received,total,0,total,D1600.04,870
Reasons given for not receiving the full amount: insufficient income or cashflow,total,0,6–19 employees,D1701,636
Reasons given for not receiving the full amount: insufficient income or cashflow,total,0,20–49 employees,D1701,120
Reasons given for not receiving the full amount: insufficient income or cashflow,total,0,50–99 employees,D1701,21
Reasons given for not receiving the full amount: insufficient income or cashflow,total,0,100+ employees,D1701,15
Reasons given for not receiving the full amount: insufficient income or cashflow,"Agriculture, forestry, & fishing",1,total,D1701,12
Reasons given for not receiving the full amount: insufficient income or cashflow,Agriculture,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Commercial fishing,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Forestry & logging,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,"Agriculture, forestry, & fishing support services",2,total,D1701,9
Reasons given for not receiving the full amount: insufficient income or cashflow,Mining,1,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Manufacturing,1,total,D1701,78
Reasons given for not receiving the full amount: insufficient income or cashflow,"Food, beverage, & tobacco",2,total,D1701,21
Reasons given for not receiving the full amount: insufficient income or cashflow,"Textile, clothing, footwear, & leather",2,total,D1701,9
Reasons given for not receiving the full amount: insufficient income or cashflow,Wood & paper product,2,total,D1701,21
Reasons given for not receiving the full amount: insufficient income or cashflow,"Printing, publishing, & recorded media",2,total,D1701,9
Reasons given for not receiving the full amount: insufficient income or cashflow,"Petroleum, coal, chemical, & associated product",2,total,D1701,12
Reasons given for not receiving the full amount: insufficient income or cashflow,Non-metallic mineral product,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Metal product,2,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Transport and industrial machinery & equipment,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Other machinery & equipment,2,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Other manufacturing,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,"Electricity, gas, water, & waste services",1,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Construction,1,total,D1701,120
Reasons given for not receiving the full amount: insufficient income or cashflow,Wholesale trade,1,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Machinery & equipment wholesaling,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Other wholesale trade,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Retail trade,1,total,D1701,153
Reasons given for not receiving the full amount: insufficient income or cashflow,Accommodation & food services,1,total,D1701,258
Reasons given for not receiving the full amount: insufficient income or cashflow,"Transport, postal, & warehousing",1,total,D1701,21
Reasons given for not receiving the full amount: insufficient income or cashflow,Information media & telecommunications,1,total,D1701,6
Reasons given for not receiving the full amount: insufficient income or cashflow,Publishing,2,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Motion picture,2,total,D1701,3
Reasons given for not receiving the full amount: insufficient income or cashflow,Telecommunications,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Financial & insurance services,1,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Finance,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Insurance,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,Auxiliary,2,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,"Rental, hiring, & real estate services",1,total,D1701,0
Reasons given for not receiving the full amount: insufficient income or cashflow,"Professional, scientific, & technical services",1,total,D1701,30
Reasons given for not receiving the full amount: insufficient income or cashflow,Computer systems design,2,total,D1701,9
Reasons given for not receiving the full amount: insufficient income or cashflow,Other professional scientific,2,total,D1701,24
Reasons given for not receiving the full amount: insufficient income or cashflow,Administrative & support services,1,total,D1701,15
Reasons given for not receiving the full amount: insufficient income or cashflow,Education & training,1,total,D1701,9
Reasons given for not receiving the full amount: insufficient income or cashflow,Health care & social assistance,1,total,D1701,42
Reasons given for not receiving the full amount: insufficient income or cashflow,Arts & recreation services,1,total,D1701,18
Reasons given for not receiving the full amount: insufficient income or cashflow,Other services,1,total,D1701,15
Reasons given for not receiving the full amount: insufficient income or cashflow,total,0,total,D1701,792
Reasons given for not receiving the full amount: insufficient collateral or security,total,0,6–19 employees,D1702,318
Reasons given for not receiving the full amount: insufficient collateral or security,total,0,20–49 employees,D1702,30
Reasons given for not receiving the full amount: insufficient collateral or security,total,0,50–99 employees,D1702,6
Reasons given for not receiving the full amount: insufficient collateral or security,total,0,100+ employees,D1702,6
Reasons given for not receiving the full amount: insufficient collateral or security,"Agriculture, forestry, & fishing",1,total,D1702,33
Reasons given for not receiving the full amount: insufficient collateral or security,Agriculture,2,total,D1702,24
Reasons given for not receiving the full amount: insufficient collateral or security,Commercial fishing,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Forestry & logging,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,"Agriculture, forestry, & fishing support services",2,total,D1702,9
Reasons given for not receiving the full amount: insufficient collateral or security,Mining,1,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Manufacturing,1,total,D1702,24
Reasons given for not receiving the full amount: insufficient collateral or security,"Food, beverage, & tobacco",2,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,"Textile, clothing, footwear, & leather",2,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,Wood & paper product,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,"Printing, publishing, & recorded media",2,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,"Petroleum, coal, chemical, & associated product",2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Non-metallic mineral product,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Metal product,2,total,D1702,12
Reasons given for not receiving the full amount: insufficient collateral or security,Transport and industrial machinery & equipment,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Other machinery & equipment,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Other manufacturing,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,"Electricity, gas, water, & waste services",1,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,Construction,1,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,Wholesale trade,1,total,D1702,21
Reasons given for not receiving the full amount: insufficient collateral or security,Machinery & equipment wholesaling,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Other wholesale trade,2,total,D1702,21
Reasons given for not receiving the full amount: insufficient collateral or security,Retail trade,1,total,D1702,141
Reasons given for not receiving the full amount: insufficient collateral or security,Accommodation & food services,1,total,D1702,75
Reasons given for not receiving the full amount: insufficient collateral or security,"Transport, postal, & warehousing",1,total,D1702,12
Reasons given for not receiving the full amount: insufficient collateral or security,Information media & telecommunications,1,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,Publishing,2,total,D1702,3
Reasons given for not receiving the full amount: insufficient collateral or security,Motion picture,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Telecommunications,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Financial & insurance services,1,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Finance,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Insurance,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Auxiliary,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,"Rental, hiring, & real estate services",1,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,"Professional, scientific, & technical services",1,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Computer systems design,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Other professional scientific,2,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Administrative & support services,1,total,D1702,0
Reasons given for not receiving the full amount: insufficient collateral or security,Education & training,1,total,D1702,6
Reasons given for not receiving the full amount: insufficient collateral or security,Health care & social assistance,1,total,D1702,18
Reasons given for not receiving the full amount: insufficient collateral or security,Arts & recreation services,1,total,D1702,6
Reasons given for not receiving the full amount: insufficient collateral or security,Other services,1,total,D1702,15
Reasons given for not receiving the full amount: insufficient collateral or security,total,0,total,D1702,363
Reasons given for not receiving the full amount: poor credit experience or history,total,0,6–19 employees,D1703,78
Reasons given for not receiving the full amount: poor credit experience or history,total,0,20–49 employees,D1703,3
Reasons given for not receiving the full amount: poor credit experience or history,total,0,50–99 employees,D1703,3
Reasons given for not receiving the full amount: poor credit experience or history,total,0,100+ employees,D1703,3
Reasons given for not receiving the full amount: poor credit experience or history,"Agriculture, forestry, & fishing",1,total,D1703,6
Reasons given for not receiving the full amount: poor credit experience or history,Agriculture,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Commercial fishing,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Forestry & logging,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,"Agriculture, forestry, & fishing support services",2,total,D1703,9
Reasons given for not receiving the full amount: poor credit experience or history,Mining,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Manufacturing,1,total,D1703,15
Reasons given for not receiving the full amount: poor credit experience or history,"Food, beverage, & tobacco",2,total,D1703,12
Reasons given for not receiving the full amount: poor credit experience or history,"Textile, clothing, footwear, & leather",2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Wood & paper product,2,total,D1703,3
Reasons given for not receiving the full amount: poor credit experience or history,"Printing, publishing, & recorded media",2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,"Petroleum, coal, chemical, & associated product",2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Non-metallic mineral product,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Metal product,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Transport and industrial machinery & equipment,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Other machinery & equipment,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Other manufacturing,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,"Electricity, gas, water, & waste services",1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Construction,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Wholesale trade,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Machinery & equipment wholesaling,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Other wholesale trade,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Retail trade,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Accommodation & food services,1,total,D1703,60
Reasons given for not receiving the full amount: poor credit experience or history,"Transport, postal, & warehousing",1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Information media & telecommunications,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Publishing,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Motion picture,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Telecommunications,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Financial & insurance services,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Finance,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Insurance,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Auxiliary,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,"Rental, hiring, & real estate services",1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,"Professional, scientific, & technical services",1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Computer systems design,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Other professional scientific,2,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Administrative & support services,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Education & training,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Health care & social assistance,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Arts & recreation services,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,Other services,1,total,D1703,0
Reasons given for not receiving the full amount: poor credit experience or history,total,0,total,D1703,84
Reasons given for not receiving the full amount: insufficient business or management experience,total,0,6–19 employees,D1704,63
Reasons given for not receiving the full amount: insufficient business or management experience,total,0,20–49 employees,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,total,0,50–99 employees,D1704,3
Reasons given for not receiving the full amount: insufficient business or management experience,total,0,100+ employees,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Agriculture, forestry, & fishing",1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Agriculture,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Commercial fishing,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Forestry & logging,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Agriculture, forestry, & fishing support services",2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Mining,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Manufacturing,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Food, beverage, & tobacco",2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Textile, clothing, footwear, & leather",2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Wood & paper product,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Printing, publishing, & recorded media",2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Petroleum, coal, chemical, & associated product",2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Non-metallic mineral product,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Metal product,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Transport and industrial machinery & equipment,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Other machinery & equipment,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Other manufacturing,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Electricity, gas, water, & waste services",1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Construction,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Wholesale trade,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Machinery & equipment wholesaling,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Other wholesale trade,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Retail trade,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Accommodation & food services,1,total,D1704,60
Reasons given for not receiving the full amount: insufficient business or management experience,"Transport, postal, & warehousing",1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Information media & telecommunications,1,total,D1704,3
Reasons given for not receiving the full amount: insufficient business or management experience,Publishing,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Motion picture,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Telecommunications,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Financial & insurance services,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Finance,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Insurance,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Auxiliary,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Rental, hiring, & real estate services",1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,"Professional, scientific, & technical services",1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Computer systems design,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Other professional scientific,2,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Administrative & support services,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Education & training,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Health care & social assistance,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Arts & recreation services,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,Other services,1,total,D1704,0
Reasons given for not receiving the full amount: insufficient business or management experience,total,0,total,D1704,66
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",total,0,6–19 employees,D1705,48
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",total,0,20–49 employees,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",total,0,50–99 employees,D1705,3
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",total,0,100+ employees,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Agriculture, forestry, & fishing",1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Agriculture,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Commercial fishing,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Forestry & logging,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Agriculture, forestry, & fishing support services",2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Mining,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Manufacturing,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Food, beverage, & tobacco",2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Textile, clothing, footwear, & leather",2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Wood & paper product,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Printing, publishing, & recorded media",2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Petroleum, coal, chemical, & associated product",2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Non-metallic mineral product,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Metal product,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Transport and industrial machinery & equipment,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Other machinery & equipment,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Other manufacturing,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Electricity, gas, water, & waste services",1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Construction,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Wholesale trade,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Machinery & equipment wholesaling,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Other wholesale trade,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Retail trade,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Accommodation & food services,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Transport, postal, & warehousing",1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Information media & telecommunications,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Publishing,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Motion picture,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Telecommunications,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Financial & insurance services,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Finance,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Insurance,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Auxiliary,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Rental, hiring, & real estate services",1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable","Professional, scientific, & technical services",1,total,D1705,24
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Computer systems design,2,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Other professional scientific,2,total,D1705,27
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Administrative & support services,1,total,D1705,9
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Education & training,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Health care & social assistance,1,total,D1705,12
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Arts & recreation services,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",Other services,1,total,D1705,0
"Reasons given for not receiving the full amount: no business plan, or the plan was not acceptable",total,0,total,D1705,51
Reasons given for not receiving the full amount: no one was willing to personally guarantee,total,0,6–19 employees,D1706,75
Reasons given for not receiving the full amount: no one was willing to personally guarantee,total,0,20–49 employees,D1706,27
Reasons given for not receiving the full amount: no one was willing to personally guarantee,total,0,50–99 employees,D1706,3
Reasons given for not receiving the full amount: no one was willing to personally guarantee,total,0,100+ employees,D1706,3
Reasons given for not receiving the full amount: no one was willing to personally guarantee,"Agriculture, forestry, & fishing",1,total,D1706,0
Reasons given for not receiving the full amount: no one was willing to personally guarantee,Agriculture,2,total,D1706,0
Reasons given for not receiving the full amount: no one was willing to personally guarantee,Commercial fishing,2,total,D1706,0
Reasons given for not receiving the full amount: no one was willing to personally guarantee,Forestry & logging,2,total,D1706,0
Reasons given for not receiving the full amount: no one was willing to personally guarantee,"Agriculture, forestry, & fishing support services",2,total,D1706,0
